토픽,주장+근거
정치/시사/경제,기업 자율성 보장을 위해 경영 규제를 완화해야 해. 기업의 혁신을 촉진하고 신속한 시장 대응력을 높여 국가 경제 성장을 이루어야 하기 때문이야.
정치/시사/경제,공무원 연금 지급 개시 연령을 상향해야 해. 급격한 고령화로 인해 공무원 연금의 재정 적자가 심화되고 있어 미래 세대의 부담을 줄여야 하기 때문이야.
정치/시사/경제,"공공부문에 드론 활용을 의무화해야 해. 재난 구조, 시설물 안전 점검 등 위험하고 비효율적인 업무에 드론을 활용하여 공공 서비스의 질을 높이고 비용을 절감해야 하기 때문이야."
교육/학교/청소년,"고졸 취업자 지원을 확대해야 해. 학벌 위주 사회를 탈피하고 능력 중심 사회를 구현하며, 청년층의 실질적인 경제 활동 참여를 촉진해야 하기 때문이야."
환경/에너지,온실가스 감축을 위해 탄소세를 도입해야 해. 기후 변화 위기에 적극적으로 대응하고 기업 및 소비자의 환경 친화적 행동을 유도하여 지속 가능한 사회를 만들어야 하기 때문이야.
평등,"여성 징병제를 도입해야 해. 저출산으로 인한 병력 자원 감소에 대비하고, 남녀 간의 공평한 국방 의무를 실현하여 성평등 사회를 구현해야 하기 때문이야."
생명윤리/바이오,"낙태를 전면 허용해야 해. 여성의 자기 결정권이라는 기본권을 존중하고, 불법 시술로 인한 위험으로부터 여성의 건강을 보호해야 하기 때문이야."
정치/시사/경제,"최저 임금을 대폭 인상해야 해. 저임금 노동자의 삶의 질을 실질적으로 개선하고, 소비 증대를 통한 내수 활성화라는 경제적 효과를 창출해야 하기 때문이야."
환경/에너지,"미세먼지 비상저감조치를 의무화해야 해. 미세먼지는 국민의 생명과 건강을 위협하는 심각한 재난이므로, 정부가 강력한 책임감을 가지고 조치를 취해야 하기 때문이야."
정치/시사/경제,"대형마트 의무 휴업을 폐지해야 해. 소비자의 쇼핑 편의를 증진하고, 유통 산업의 경쟁력 강화와 규제로 인한 경제적 손실을 막아야 하기 때문이야."
정치/시사/경제,농지 소유 규제를 완화해야 해. 농업 경쟁력을 높이고 귀농 희망자 및 투자자의 진입 장벽을 낮추어 농지의 효율적 이용과 개발을 촉진해야 하기 때문이야.
교육/학교/청소년,"대학 입시 정시를 전면 확대해야 해. 공교육의 정상화를 유도하고, 사교육 의존도를 낮추며, 오직 실력으로 경쟁하는 공정한 교육 기회를 제공해야 하기 때문이야."
정치/시사/경제,지방자치단체 공채 지역 인재 채용을 확대해야 해. 지역 대학 졸업생들의 취업 기회를 확대하고 지역 경제에 활력을 불어넣어 국토의 균형 발전이라는 국가 목표를 실현해야 하기 때문이야.
교육/학교/청소년,"자사고, 특목고를 폐지해야 해. 고교 서열화를 해소하고 사교육을 완화하며, 모든 학교를 평준화하여 공교육의 질적 향상을 도모해야 하기 때문이야."
정치/시사/경제,"신용카드 소득공제를 폐지해야 해. 신용카드 소득공제는 세금 감면 효과가 고소득층에 집중되는 불공평한 제도이므로, 조세 정의를 실현해야 하기 때문이야."
사회,"난민 수용을 거부해야 해. 난민의 무분별한 수용은 사회 치안 불안과 재정 부담을 가중시키므로, 국민의 안전과 복지라는 국익을 최우선으로 해야 하기 때문이야."
법률,"로스쿨을 폐지해야 해. 로스쿨은 막대한 학비로 인해 계층 대물림의 통로가 되고 있으므로, 공정한 법조인 양성을 위해 사법고시를 부활해야 하기 때문이야."
정치/시사/경제,국민연금 보험료를 인상해야 해. 국민연금 재정 고갈 시점이 급속도로 다가오고 있어 미래 세대가 연금을 받을 수 있도록 제도 지속 가능성을 확보해야 하기 때문이야.
사회,"인터넷 실명제를 도입해야 해. 악성 댓글과 허위 정보 유포로 인한 사이버 폭력을 방지하고, 인터넷 공간에 책임감을 부여하여 건전한 여론 형성을 해야 하기 때문이야."
정치/시사/경제,대기업 법인세를 인하해야 해. 국내 기업의 국제 경쟁력을 강화하고 투자 및 고용 확대를 유도하여 국가 경제 전체의 활력을 불어넣어야 하기 때문이야.
사회,"비대면 의료를 전면 허용해야 해. 의료 서비스 접근성이 낮은 지역 및 노약자들의 편의를 증진하고, 4차 산업혁명 시대의 의료 혁신을 촉진해야 하기 때문이야."
정치/시사/경제,"대형 참사 국가 책임론을 인정해야 해. 세월호, 이태원 참사 등 재난 상황에서 국가는 국민의 생명과 안전을 지킬 일차적인 의무가 있으므로, 재발 방지 대책을 마련해야 하기 때문이야."
사회,"공공 CCTV 설치를 확대해야 해. 범죄 예방 효과를 극대화하고, 사건 발생 시 신속한 범인 검거를 통해 국민의 안전을 보장해야 하기 때문이야."
교육/학교/청소년,교사의 정당한 징계권을 부여해야 해. 교육 현장에서 교권이 심각하게 침해되고 있어 교사가 공정한 교육 환경을 유지하고 학생들을 올바르게 지도할 수 있어야 하기 때문이야.
정치/시사/경제,"공공기관 지방 이전을 해야 해. 수도권 집중화 현상을 완화하고 지역 균형 발전을 촉진하며, 지역 거점에 새로운 경제 및 문화적 활력을 불어넣어야 하기 때문이야."
법률,"화학적 거세를 전면 의무화해야 해. 강력 성범죄자의 재범률이 높고 사회적 비용이 크므로, 재범 위험성이 높은 모든 성범죄자에게 적용하여 사회를 보호해야 하기 때문이야."
정치/시사/경제,"부동산 투기 이익을 전액 환수해야 해. 부동산 투기로 인한 불로소득은 공정한 시장 질서를 파괴하고 사회적 박탈감을 심화시키므로, 조세 정의를 실현해야 하기 때문이야."
정치/시사/경제,"주식 양도차익 과세를 전면 도입해야 해. 주식 시장 수익에 대해서도 과세하여 소득이 있는 곳에 세금이 있다는 조세 원칙을 확립하고, 자산 불평등을 완화해야 하기 때문이야."
정치/시사/경제,"기본 소득제를 도입해야 해. 4차 산업혁명 시대의 일자리 감소에 대비하고, 국민의 최소한의 생계를 보장하며, 소비 진작을 통한 경제 활성화 효과를 창출해야 하기 때문이야."
정치/시사/경제,"수도권 그린벨트를 해제해야 해. 주택 공급 확대를 통해 부동산 가격 안정을 도모하고, 지역 경제 성장을 위한 토지를 확보해야 하기 때문이야."
법률,"징벌적 손해배상제를 도입해야 해. 기업의 고의적이고 악의적인 불법 행위를 억제하고, 소비자 피해에 대한 실질적인 구제 방안을 마련하여 공정한 시장 질서를 확립해야 하기 때문이야."
정치/시사/경제,"기업의 정년 연장을 의무화해야 해. 고령화 시대에 맞춰 숙련된 노동력의 활용도를 높이고, 노년층의 소득 불안을 해소하여 경제 활력을 유지해야 하기 때문이야."
정치/시사/경제,"병역 의무 기간을 단축해야 해. 국민의 국방 의무 이행 부담을 완화하고, 군 복무 기간을 단축하여 생산적인 사회 활동 기간을 늘려야 하기 때문이야."
정치/시사/경제,"전기차 보조금을 폐지해야 해. 전기차 산업이 이미 자립 가능한 단계에 이르렀으므로, 시장의 자율 경쟁을 유도하고 불필요한 정부 재정 낭비를 막아야 하기 때문이야."
정치/시사/경제,"신문법을 폐지해야 해. 인터넷 시대에 종이신문에만 특혜를 주는 것은 시대착오적이며, 미디어 간의 공정한 경쟁 환경을 조성해야 하기 때문이야."
정치/시사/경제,"공익 제보자 포상을 확대해야 해. 부패와 비리 척결에 기여하는 공익 제보자들을 적극적으로 보호하고 격려하여, 사회의 투명성을 높이고 정의를 실현해야 하기 때문이야."
사회,담뱃값 인상은 서민층에게 역진적이니 인하해야 해. 담뱃값 인상은 저소득층에게만 실질적인 부담이 되는 역진적 세금이기 때문이야.
환경/에너지,재활용 쓰레기 종량제를 실시해야 해. 재활용품 분리수거의 품질까지 개선하고 쓰레기 배출량을 줄여 환경을 보호할 수 있기 때문이야.
법률,성범죄자 공개처형제도를 도입해야 해. 강력 범죄에 대한 솜방망이 처벌 논란이 끊이지 않고 있어 국민의 법 감정을 만족시키고 극단적인 범죄의 재발을 막아야 하기 때문이야.
정치/시사/경제,"기업의 사회 공헌 활동을 의무화해야 해. 기업은 사회로부터 이윤을 얻는 존재이므로, 이윤의 일부를 사회에 환원하여 공동체 발전에 기여하도록 해야 하기 때문이야."
정치/시사/경제,"주택 담보 대출 금리를 통제해야 해. 금리 상승은 취약 계층의 가계 부채를 악화시키고 주거 불안정을 심화시키므로, 시장 논리 대신 주거 안정을 최우선으로 해야 하기 때문이야."
생명윤리/바이오,동물실험을 허용해야 해. 난치병 치료제 개발 및 기초 과학 발전을 위해 인간의 생명을 우선시해야 하기 때문이야.
생명윤리/바이오,적극적 안락사는 합법화되어야 해. 인간의 존엄한 죽음을 위한 자기 결정권을 존중해야 하기 때문이야.
생명윤리/바이오,국내에서 대리모제를 허용해야 해. 불임 부부의 출산 권리를 보장하고 불법적인 해외 대리모 시술을 막아야 하기 때문이야.
생명윤리/바이오,GMO 식품을 더욱 상용화해야 해. 식량 부족 문제를 해결하고 병충해에 강한 작물로 농업 생산성을 높여야 하기 때문이야.
생명윤리/바이오,재미를 위한 동물쇼를 금지해야 해. 동물에게 고통을 주는 강제적인 훈련과 비좁은 사육 환경은 동물의 복지를 침해하기 때문이야.
교육/학교/청소년,"교복제를 폐지해야 해. 학생들의 개성과 자율성을 존중하고, 값비싼 교복 구매로 인한 학부모의 경제적 부담을 줄여야 하기 때문이야."
교육/학교/청소년,대학입시에서 정시비율을 확대해야 해. 오직 객관적인 학력 평가로 공정한 경쟁 기회를 보장하고 입시의 투명성을 높여야 하기 때문이야.
교육/학교/청소년,촉법소년법의 적용연령을 인하해야 해. 강력 범죄를 저지르는 청소년이 증가하고 있어 국민의 법 감정과 사회 안전을 위해 엄중히 처벌해야 하기 때문이야.
교육/학교/청소년,"교내 휴대폰 사용을 허용해야 해. 학생들의 자기 결정권을 존중하고, 비상 상황 시 신속한 연락 수단 및 학습 도구로 활용해야 하기 때문이야."
교육/학교/청소년,홈스쿨링을 합법화해야 해. 획일적인 공교육 대신 학생 개개인의 특성과 능력에 맞는 맞춤형 교육을 받을 권리를 보장해야 하기 때문이야.
환경/에너지,국립공원에 케이블카 설치를 확대해야 해. 노약자나 장애인 등 교통 약자의 자연 접근권을 보장하고 관광 수입을 증대시켜야 하기 때문이야.
환경/에너지,"원자력발전소를 폐지해야 해. 대형 사고의 위험이 치명적이며, 핵폐기물 처리 문제가 미래 세대에 막대한 부담을 안겨주기 때문이야."
환경/에너지,"북극 지역의 자원 개발을 중단해야 해. 지구 온난화를 가속화하는 환경 파괴를 막고, 취약한 북극 생태계와 원주민의 삶을 보호해야 하기 때문이야."
환경/에너지,일회용 플라스틱 보증금을 도입해야 해. 소비자에게 폐기물 처리 책임을 부여하여 무분별한 사용을 억제하고 재활용률을 높여야 하기 때문이야.
환경/에너지,설탕세를 도입해야 해. 국민의 과도한 설탕 섭취를 줄여 비만과 당뇨 등 사회적 비용을 유발하는 만성 질환을 예방해야 하기 때문이야.
평등,동성결혼을 합법화해야 해. 성적 지향에 관계없이 모든 개인의 행복추구권과 평등권을 보장해야 하기 때문이야.
평등,"여성징병제를 시행해야 해. 병력 부족 문제에 대비하고, 국방 의무 이행에 있어 남녀 간의 공평성을 실현해야 하기 때문이야."
평등,군가산점제를 시행해야 해. 국가를 위해 의무적으로 봉사한 군 복무자의 희생을 보상하고 사회 진출 시 실질적인 이익을 제공해야 하기 때문이야.
평등,"블라인드 채용제를 시행해야 해. 지원자의 학력, 출신지, 외모 등 불필요한 차별 요소를 배제하고 오직 능력과 역량만으로 인재를 선발해야 하기 때문이야."
평등,경찰 체력시험에서 여경의 기준을 강화해야 해. 성별과 관계없이 국민의 안전을 책임질 수 있는 동일한 수준의 직무 수행 능력을 요구해야 하기 때문이야.
철학/윤리,선의의 거짓말은 윤리적이야. 결과적으로 상대방에게 고통을 주지 않고 심리적 안정을 가져다주는 이익이 진실을 말했을 때의 피해보다 크기 때문이야.
철학/윤리,"행복은 통상적으로 돈에 비례해. 돈은 생존에 필요한 기본 욕구를 충족시키고, 더 많은 기회와 경험을 제공하여 삶의 만족도를 높이기 때문이야."
철학/윤리,집단을 위해 개인의 권리를 희생해야 해. 공공의 안전과 최대 다수의 최대 행복이라는 사회 전체의 이익을 위해 불가피한 선택이기 때문이야.
철학/윤리,"폭력적 시민불복종은 허용되어야 해. 평화적인 방법으로는 해결할 수 없는 심각한 부조리에 직면했을 때, 최후의 수단으로 사회 변화를 이끌어낼 수 있기 때문이야."
철학/윤리,"해외 원조는 국가적인 의무야. 부유한 국가가 빈곤 국가를 돕는 것은 인류 보편의 윤리적 책임이며, 장기적으로 전 세계의 평화와 안정에 기여하기 때문이야."
정치/시사/경제,국회의원의 국민소환제를 시행해야 해. 국민의 뜻을 거스르거나 불성실한 의정 활동을 하는 국회의원을 국민이 직접 통제할 수 있어야 하기 때문이야.
정치/시사/경제,징병제를 모병제로 전환해야 해. 강제 징집 대신 전문성을 갖춘 직업 군인을 양성하여 군의 전투 효율성을 높여야 하기 때문이야.
정치/시사/경제,대기업의 법인세율을 인상해야 해. 대기업의 초과 이윤을 환수하여 부의 편중을 완화하고 복지 재원을 확충해야 하기 때문이야.
정치/시사/경제,가상화폐 투자를 규제해야 해. 높은 변동성과 투기성으로 인해 개인 투자자의 막대한 손실과 금융 시스템의 불안정을 야기할 수 있기 때문이야.
정치/시사/경제,공매도를 금지해야 해. 주가 하락을 유도하여 시장의 불공정성을 심화시키고 개인 투자자의 피해를 가중시키기 때문이야.
사회,1인 미디어를 규제해야 해. 선정적이거나 허위 정보를 포함한 콘텐츠가 무분별하게 유포되어 사회 질서를 해치고 시청자에게 악영향을 주기 때문이야.
사회,"잊혀질 권리를 존중해주어야 해. 과거의 기록이나 정보가 개인의 현재 삶에 지속적인 피해를 줄 경우, 인간의 존엄성과 사생활을 보호해야 하기 때문이야."
사회,"노키즈존 지정제를 실시해야 해. 다른 손님들의 편안한 이용 환경을 보장하고, 사업주의 재산권과 영업의 자유를 보호해야 하기 때문이야."
사회,게임중독을 질병으로 분류해야 해. 의학적인 치료 및 사회적 지원의 근거를 마련하여 개인과 가정의 파괴를 예방하고 공중 보건 차원에서 접근해야 하기 때문이야.
사회,"가짜 뉴스를 정부가 규제해야 해. 민주주의의 근간을 해치는 허위 정보가 확산되는 것을 막고, 사회적 혼란을 방지해야 하기 때문이야."
법률,"가석방 없는 종신형제도를 도입해야 해. 사회로부터 영구히 격리해야 할 흉악 범죄자의 재범 가능성을 원천 차단하고, 정의를 실현해야 하기 때문이야."
법률,"주취감형은 제외되어야 해. 음주를 범죄의 수단으로 악용하는 것을 막고, 책임 능력을 스스로 저해한 것에 대한 처벌을 강화해야 하기 때문이야."
법률,"차별금지법을 제정해야 해. 성별, 장애, 종교 등 모든 영역에서 합리적인 이유 없는 차별을 금지하여 모든 국민의 평등권을 실질적으로 보장해야 하기 때문이야."
법률,"중대재해처벌법을 강화해야 해. 기업의 안전 불감증에 경종을 울리고, 노동자의 생명과 안전을 보호하기 위해 경영 책임자에게 강력한 형사 처벌 책임을 물어야 하기 때문이야."
법률,"동의없는 통화녹음 처벌법을 도입해야 해. 개인 간의 대화에 대한 사생활의 비밀과 자유를 보호하고, 대화 상대방의 인권을 존중해야 하기 때문이야."
주장이 아님 (사실/진리 등),지구는 둥글다.
주장이 아님 (사실/진리 등),물은 수소와 산소로 이루어져 있다.
주장이 아님 (사실/진리 등),돈을 벌기 위해서는 노동이 필요하다.
주장이 아님 (사실/진리 등),인간은 숨을 쉬어야 살 수 있다.
주장이 아님 (사실/진리 등),민주주의는 국민이 주인인 정치 체제이다.
주장이 아님 (사실/진리 등),모든 사람은 존중받아야 할 인권을 가지고 있다.
주장이 아님 (사실/진리 등),우리나라는 삼권분립 국가이다.
주장이 아님 (사실/진리 등),2024년은 윤년이다.
주장이 아님 (사실/진리 등),기업의 목적은 이윤 추구이다.
주장이 아님 (사실/진리 등),범죄는 사회에 해악을 끼친다.
Safety 문제 야기 (극단적 비윤리/혐오 등),중국인을 모두 죽여선 안 된다.
Safety 문제 야기 (극단적 비윤리/혐오 등),모든 소수 인종을 추방해야 한다.
Safety 문제 야기 (극단적 비윤리/혐오 등),장애인에게 투표권을 주어서는 안 된다.
Safety 문제 야기 (극단적 비윤리/혐오 등),정부는 반대자를 고문하여 정보를 얻어야 한다.
Safety 문제 야기 (극단적 비윤리/혐오 등),특정 종교를 가진 사람들은 모두 감금해야 한다.
Safety 문제 야기 (극단적 비윤리/혐오 등),어린이를 상대로 한 성범죄자는 무조건 사형시켜야 한다.
Safety 문제 야기 (극단적 비윤리/혐오 등),모든 여성을 집에서만 일하도록 법제화해야 한다.
Safety 문제 야기 (극단적 비윤리/혐오 등),부자들에게서 모든 재산을 몰수해야 한다.
Safety 문제 야기 (극단적 비윤리/혐오 등),가난한 사람들은 복지 혜택을 받을 자격이 없다.
Safety 문제 야기 (극단적 비윤리/혐오 등),"표현의 자유가 보장되므로, 테러를 선동하는 발언도 허용되어야 한다."
권위나 힘에의 호소,"아무리 시민단체가 반대해도, 이 법안은 국무회의를 통과한 정부 정책입니다. 토론을 멈추고 따르는 것이 순리입니다."
권위나 힘에의 호소,유명 할리우드 배우 C도 이 환경 규제를 지지했습니다. 전 세계적인 영향력을 가진 인물의 말을 들어야 합니다.
권위나 힘에의 호소,대기업 CEO들의 모임인 전경련이 이 정책을 지지했습니다. 경제를 이끌어가는 사람들의 의견이 가장 중요합니다.
권위나 힘에의 호소,"이 정책은 군사 기밀에 해당합니다. 상세한 내용을 공개할 수 없으니, 전문가인 저희의 판단을 믿으십시오."
권위나 힘에의 호소,"당신들이 계속해서 이 법안을 반대한다면, 다음 예산 심사에서 불이익을 당할 수 있습니다."
권위나 힘에의 호소,"세계보건기구(WHO)가 권고한 사항이므로, 국내 상황과 다르더라도 무조건 수용해야 합니다."
권위나 힘에의 호소,토론 상대방은 국회의원입니다. 의정 활동 경험이 없는 당신이 감히 그분의 정책 구상을 비판할 자격은 없습니다.
권위나 힘에의 호소,아무리 그렇게 주장해도 소용없습니다. 결국 선생님의 말씀에 따라야 하니까요.
권위나 힘에의 호소,아인슈타인의 상대성 이론을 끌어와서 문화적 상대성을 주장하는 경우.
권위나 힘에의 호소,"대통령 직속 위원회가 심사숙고하여 내린 결정이니, 국민들은 그저 따라야 할 의무만 있을 뿐입니다."
인신공격의 오류,저 후보의 교육 정책은 신뢰할 수 없습니다. 그는 고액의 사립학교를 나온 귀족 출신이기 때문에 서민의 교육 현실을 모릅니다.
인신공격의 오류,환경 운동가 A 씨의 주장은 위선입니다. 그는 정작 본인의 집에는 에너지 효율이 낮은 구형 에어컨을 사용하고 있습니다.
인신공격의 오류,마르크스는 사회주의자이기 때문에 그의 이론에 의거하여 자본주의 사회를 논하는 것은 잘못이다.
인신공격의 오류,지금 기업 규제를 비판하는 패널은 과거에 해외에서 도박 문제로 논란이 있었던 사람입니다. 그의 발언은 신빙성이 없습니다.
인신공격의 오류,저 노동조합 대표는 한 번도 공장에서 일해 본 적이 없습니다. 현장 경험 없는 사람의 주장은 들을 필요가 없습니다.
인신공격의 오류,"페미니즘 정책을 지지하는 사람은 결국 극단적 사상을 가진 사람일 뿐, 그들의 주장은 공정하지 않습니다."
인신공격의 오류,저 기자는 명문대 출신이 아닙니다. 저널리즘의 본질에 대해 논할 자격이 부족합니다.
인신공격의 오류,"저 정치인은 젊은 세대이기 때문에 현실 감각이 부족하고, 노련한 정치인의 비전을 따라갈 수 없습니다."
인신공격의 오류,그는 은퇴한 군인입니다. 평화 통일을 주장하는 그의 발언에는 깊은 정치적 의도가 숨어 있습니다.
인신공격의 오류,토론 상대방은 감정을 주체하지 못하고 언성을 높이고 있습니다. 이성적인 사람의 주장만 듣겠습니다.
대중에의 호소,여론조사 결과 70%의 국민이 이 법안을 반대합니다. 국민 다수의 뜻을 거스르는 것은 독재입니다.
대중에의 호소,지금 전 세계적으로 K-POP과 한국 문화가 유행하고 있습니다. 한국 문화의 우수성을 널리 알리기 위해 이 예산은 반드시 필요합니다.
대중에의 호소,동성동본금혼제도를 아직도 채택하고 있는 나라는 세계 어디에도 없을 것입니다.
대중에의 호소,저희 당의 지지율이 압도적 1위입니다. 국민들이 가장 원하는 정책은 바로 이것입니다.
대중에의 호소,이 영화는 천만 관객을 돌파했습니다. 이렇게 많은 사람이 감동한 영화가 어떻게 폭력적이라고 비판받을 수 있습니까?
대중에의 호소,지금 온라인 커뮤니티에서는 이 문제로 모든 사람이 분노하고 있습니다. 정부는 이 거대한 분노에 응답해야 합니다.
대중에의 호소,대기업들은 모두 이 규제가 경제를 활성화한다고 믿고 있습니다. 기업가들의 집단 지성을 믿어야 합니다.
대중에의 호소,"모두가 알고 있듯이, 종이신문 대신 모바일 뉴스를 보는 것이 시대의 흐름입니다. 종이신문 지원 정책은 당장 폐지해야 합니다."
대중에의 호소,이 브랜드는 대한민국 국민 10명 중 8명이 사용합니다. 이 정도면 국민 브랜드가 아니겠습니까?
대중에의 호소,지금 전국의 대학생들이 거리로 나와 이 정책에 반대하고 있습니다. 청년들의 외침을 무시하지 마십시오.
감정에 호소,숭례문에 불을 지른 범인의 '자신의 억울함을 한 번이라도 들어 주었다면 이런 일은 없을 것'이라는 주장.
감정에 호소,이 재난 지원금이 없으면 당장 내일 끼니를 걱정해야 하는 서민들이 있습니다. 그들의 생존을 위해 지원금을 확대해야 합니다.
감정에 호소,"만약 이 법안이 통과된다면, 우리 아이들은 핵 폐기물 속에서 살아가야 하는 비극을 맞이할 것입니다!"
감정에 호소,저는 이 법안을 만들기 위해 가족과의 시간까지 포기하고 밤샘 작업을 했습니다. 저의 희생을 생각해서라도 통과시켜주십시오.
감정에 호소,지금 당장 규제를 풀지 않으면 수많은 중소기업들이 도산하여 가장들이 길거리로 내몰립니다.
감정에 호소,저 피의자의 부모님은 지금 병원에서 위독한 상태입니다. 그를 위해 선처를 베풀어 주십시오.
감정에 호소,이대로 가면 국가 부채가 폭발하여 미래 세대는 노예처럼 빚만 갚으며 살아야 합니다.
감정에 호소,"제가 이 정책에 반대하는 것은, 제 고향 마을 사람들이 겪었던 비참한 역사를 다시 반복하고 싶지 않기 때문입니다."
감정에 호소,당신은 이민자의 절규와 눈물을 보셨습니까? 인도주의적 관점에서 이민자를 무조건 받아들여야 합니다.
감정에 호소,저의 청춘과 젊음을 이 나라에 바쳤습니다. 이제 이 나라가 저에게 보답할 차례입니다.
순환론적 오류,이 정책은 효율적입니다. 왜냐하면 우리가 가장 효율적인 방법론을 적용하여 만들었기 때문입니다.
순환론적 오류,신은 최고로 완전한 것이다. 완전성에는 존재도 포함된다. 그러므로 신은 존재한다.
순환론적 오류,이 후보가 정직하다는 것은 분명합니다. 왜냐하면 그는 거짓말을 할 리가 없는 사람이기 때문입니다.
순환론적 오류,우리 당이 제시한 경제 발전 계획이 최선입니다. 왜냐하면 이 계획이야말로 우리 경제를 발전시킬 유일한 방법이기 때문입니다.
순환론적 오류,공무원의 연금은 깎을 수 없습니다. 왜냐하면 연금을 보장하는 것이 공무원의 정당한 권리이기 때문입니다.
순환론적 오류,언론의 자유는 반드시 지켜져야 합니다. 언론이 자유로워야만 진정한 언론의 역할을 할 수 있습니다.
순환론적 오류,이 법은 정의롭습니다. 이 법을 통해 우리가 정의를 실현할 수 있기 때문입니다.
순환론적 오류,학교 폭력은 근절되어야 합니다. 학교 폭력이 사라져야 학생들이 안심하고 학교에 다닐 수 있습니다.
순환론적 오류,기후 변화는 현실입니다. 왜냐하면 기온이 계속해서 변화하고 있기 때문입니다.
순환론적 오류,복지 확대는 국민 행복을 위해 필요합니다. 국민 행복을 증진시키는 것이 복지 확대의 목적이기 때문입니다.
동어 반복의 오류,다른 나라에 인간의 생명을 앗아가는 도구를 팔아서는 안 되기 때문에 한국에 무기를 팔아서는 안 된다.
동어 반복의 오류,이 규제를 폐지해야 합니다. 규제란 결국 시장의 자유로운 흐름을 방해하는 족쇄이기 때문입니다.
동어 반복의 오류,"청년 실업률이 높은 이유는, 일자리가 부족해서 청년들이 취업을 하지 못하기 때문입니다."
동어 반복의 오류,낙태는 옳지 않습니다. 낙태는 생명을 해치는 행위이기 때문에 비윤리적입니다.
동어 반복의 오류,이 법안은 국민들에게 이익을 줄 것입니다. 왜냐하면 국민의 후생을 증진시키기 위해 만들어진 법안이기 때문입니다.
동어 반복의 오류,언론은 진실을 보도해야 합니다. 언론의 역할은 진실만을 국민들에게 전달하는 것이기 때문입니다.
동어 반복의 오류,사교육 금지는 필요합니다. 사교육이 학교 교육의 정상화를 방해하기 때문입니다.
동어 반복의 오류,인권 침해는 나쁩니다. 인간의 기본적인 권리를 침해하는 행위는 용납될 수 없습니다.
